semantic,selection,masked_scale_count,original_direction,original_boundary,n,mean,q25,q75
texture,earliest,9,prefix,9,50,0.14133900467306376,0.04644912388175726,0.21078018844127655
texture,earliest,10,prefix,10,50,0.14134930666536094,0.04683067463338375,0.213174507021904
texture,latest,0,suffix,10,50,0.0,0.0,0.0
texture,latest,1,suffix,9,50,0.003642991810338572,0.002071478869765997,0.0047174443025141954
texture,latest,2,suffix,8,50,0.021952858968870715,0.013330894988030195,0.026297245174646378
texture,latest,3,suffix,7,50,0.04213628924684599,0.01967848977074027,0.059171149507164955
texture,latest,4,suffix,6,50,0.06957123881205916,0.03695744648575783,0.10171539336442947
texture,latest,5,suffix,5,50,0.09651329951360822,0.05010803136974573,0.1478998176753521
texture,latest,6,suffix,4,50,0.10980381540954114,0.05538311693817377,0.1515619456768036
texture,latest,7,suffix,3,50,0.13424914297647775,0.06415979936718941,0.2178325019776821
texture,latest,8,suffix,2,50,0.15076653564348816,0.060434697195887566,0.23393644392490387
texture,latest,9,suffix,1,50,0.1438072391413152,0.05393509939312935,0.20991741865873337
texture,latest,10,suffix,0,50,0.14134930666536094,0.04683067463338375,0.213174507021904
count,earliest,0,prefix,0,50,0.0,0.0,0.0
count,earliest,1,prefix,1,50,0.14289777111262084,0.06800328381359577,0.17946548387408257
count,earliest,2,prefix,2,50,0.18270003646612168,0.08619899302721024,0.2616640366613865
count,earliest,3,prefix,3,50,0.1960573076363653,0.0915344450622797,0.28952183574438095
count,earliest,4,prefix,4,50,0.1818662006780505,0.07882226444780827,0.24445917829871178
count,earliest,5,prefix,5,50,0.18801249230280517,0.0851003285497427,0.26543884724378586
count,earliest,6,prefix,6,50,0.1864275434240699,0.0815560631453991,0.265080951154232
count,earliest,7,prefix,7,50,0.18967812107875942,0.08513437584042549,0.26904381811618805
count,earliest,8,prefix,8,50,0.1893152470141649,0.0899286288768053,0.26479168981313705
count,earliest,9,prefix,9,50,0.18826270379126073,0.0811211708933115,0.2622213587164879
count,earliest,10,prefix,10,50,0.18818925919011234,0.08043866604566574,0.26192211359739304
count,latest,0,suffix,10,50,0.0,0.0,0.0
count,latest,1,suffix,9,50,0.004261059481650591,0.0023698799195699394,0.00582154409494251
count,latest,2,suffix,8,50,0.025228686986956746,0.01472316775470972,0.03457583952695131
count,latest,3,suffix,7,50,0.0616687292791903,0.02875309670343995,0.08896877616643906
count,latest,4,suffix,6,50,0.09737693293020129,0.06833249516785145,0.13098383322358131
count,latest,5,suffix,5,50,0.10618302948772908,0.07238314859569073,0.13710400089621544
count,latest,6,suffix,4,50,0.13508925633504987,0.0760906171053648,0.17876067012548447
count,latest,7,suffix,3,50,0.14590031628031283,0.07269911468029022,0.20879362896084785
count,latest,8,suffix,2,50,0.14752413749694823,0.06701809354126453,0.21138614416122437
count,latest,9,suffix,1,50,0.20019948810338975,0.09061740711331367,0.2646019980311394
count,latest,10,suffix,0,50,0.18818925919011234,0.08043866604566574,0.26192211359739304
spatial_relation,earliest,0,prefix,0,50,0.0,0.0,0.0
spatial_relation,earliest,1,prefix,1,50,0.12028918700525537,0.055688632652163506,0.1721714586019516
spatial_relation,earliest,2,prefix,2,50,0.12306783765554428,0.07388703338801861,0.15311187133193016
spatial_relation,earliest,3,prefix,3,50,0.1318728556856513,0.07020020857453346,0.15057235956192017
spatial_relation,earliest,4,prefix,4,50,0.11885772084817291,0.03805011045187712,0.16484234482049942
spatial_relation,earliest,5,prefix,5,50,0.13345072642434389,0.0701733585447073,0.17710914090275764
spatial_relation,earliest,6,prefix,6,50,0.13307604286819696,0.06139924190938473,0.1726515032351017
spatial_relation,earliest,7,prefix,7,50,0.13452802596148103,0.06762958876788616,0.17596372589468956
spatial_relation,earliest,8,prefix,8,50,0.13322081440943292,0.06287250202149153,0.17562183365225792
spatial_relation,earliest,9,prefix,9,50,0.13364032668992876,0.06437174417078495,0.18098002672195435
spatial_relation,earliest,10,prefix,10,50,0.13364921687170864,0.06359003018587828,0.18024644255638123
spatial_relation,latest,0,suffix,10,50,0.0,0.0,0.0
spatial_relation,latest,1,suffix,9,50,0.0028996336698764937,0.001527017739135772,0.004118742537684739
spatial_relation,latest,2,suffix,8,50,0.020954722355818377,0.009727864991873503,0.029681571759283543
spatial_relation,latest,3,suffix,7,50,0.050460163946263493,0.028940838761627674,0.07383726164698601
spatial_relation,latest,4,suffix,6,50,0.07601466592401267,0.04002844449132681,0.0987801868468523
spatial_relation,latest,5,suffix,5,50,0.09934694018214942,0.05077624227851629,0.1350068263709545
spatial_relation,latest,6,suffix,4,50,0.114151351749897,0.06226431019604206,0.16913438215851784
spatial_relation,latest,7,suffix,3,50,0.12341478525660932,0.05050932057201862,0.17449146136641502
spatial_relation,latest,8,suffix,2,50,0.10965093836188317,0.03517210762947798,0.15980129688978195
spatial_relation,latest,9,suffix,1,50,0.12883462592959405,0.07064160518348217,0.16727419942617416
spatial_relation,latest,10,suffix,0,50,0.13364921687170864,0.06359003018587828,0.18024644255638123
