semantic,metric,direction,boundary,n,mean,q25,q75,mean_clipscore_drop
object,clipscore,prefix,1,50,0.8715666103363037,0.8177524209022522,0.912647008895874,-0.006255276203155517
object,clipscore,prefix,2,50,0.8711453664302826,0.8186986148357391,0.9103363752365112,-0.0058340322971344
object,clipscore,prefix,3,50,0.8684370350837708,0.8187101781368256,0.9244424998760223,-0.0031257009506225585
object,clipscore,prefix,4,50,0.8695137524604797,0.8280303925275803,0.9237460941076279,-0.004202418327331543
object,clipscore,prefix,5,50,0.8703542625904084,0.8266386091709137,0.9169502109289169,-0.005042928457260132
object,clipscore,prefix,6,50,0.8768753159046173,0.8269780874252319,0.9211708307266235,-0.011563981771469117
object,clipscore,prefix,7,50,0.8735768520832061,0.8258599489927292,0.9248574376106262,-0.008265517950057984
object,clipscore,prefix,8,50,0.8727686882019043,0.8223329782485962,0.9270497411489487,-0.0074573540687561035
object,clipscore,prefix,9,50,0.8739488637447357,0.8226667940616608,0.9257924556732178,-0.008637529611587525
object,clipscore,prefix,10,50,0.8709076416492462,0.8224456161260605,0.9220560789108276,-0.005596307516098023
object,clipscore,suffix,0,50,0.8709076416492462,0.8224456161260605,0.9220560789108276,-0.005596307516098023
object,clipscore,suffix,1,50,0.8690072703361511,0.8230839669704437,0.9145516157150269,-0.0036959362030029295
object,clipscore,suffix,2,50,0.8645078992843628,0.8106700479984283,0.9188800305128098,0.0008034348487854004
object,clipscore,suffix,3,50,0.8644778823852539,0.8183631747961044,0.9124366343021393,0.0008334517478942871
object,clipscore,suffix,4,50,0.8703559625148773,0.8175041675567627,0.9231463372707367,-0.005044628381729126
object,clipscore,suffix,5,50,0.8646571958065032,0.8090767562389374,0.9239942729473114,0.0006541383266448975
object,clipscore,suffix,6,50,0.865362823009491,0.8120942115783691,0.9171930700540543,-5.148887634277344e-05
object,clipscore,suffix,7,50,0.864972357749939,0.810886949300766,0.9122934937477112,0.0003389763832092285
object,clipscore,suffix,8,50,0.8655594921112061,0.8120937496423721,0.9101786762475967,-0.0002481579780578613
object,clipscore,suffix,9,50,0.8658096790313721,0.8299048244953156,0.9136811345815659,-0.000498344898223877
object,clipscore,suffix,10,50,0.8653113341331482,0.8264819979667664,0.9133374392986298,0.0
color,lpips,prefix,0,50,0.0,0.0,0.0,0.0
