semantic,direction,boundary,n,mean,median,q25,q75,min,max,up,down,unchanged
shape,prefix,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0,0,50
shape,prefix,1,50,-0.0022007572650909425,-0.0011261701583862305,-0.01107574999332428,0.009869620203971863,-0.07354557514190674,0.05424225330352783,24,26,0
shape,prefix,2,50,-0.0025785517692565917,-0.0027303993701934814,-0.01863117516040802,0.011676982045173645,-0.060467302799224854,0.06047457456588745,23,27,0
shape,prefix,3,50,-0.0002850031852722168,-0.0016601979732513428,-0.013631507754325867,0.018572404980659485,-0.07477420568466187,0.044135332107543945,24,26,0
shape,prefix,4,50,0.0020889663696289063,0.0007841885089874268,-0.007158651947975159,0.014963299036026001,-0.0581669807434082,0.05019503831863403,27,23,0
shape,prefix,5,50,-0.0009584414958953857,0.0038070976734161377,-0.010722488164901733,0.012803301215171814,-0.10032904148101807,0.041126787662506104,28,22,0
shape,prefix,6,50,3.1142234802246095e-05,0.006480544805526733,-0.011191025376319885,0.015981227159500122,-0.10292840003967285,0.05597281455993652,29,21,0
shape,prefix,7,50,-0.00025083780288696287,-0.0009251534938812256,-0.012792706489562988,0.017076507210731506,-0.07587099075317383,0.05721467733383179,23,27,0
shape,prefix,8,50,0.0007145249843597412,-0.0006930828094482422,-0.012114018201828003,0.01340031623840332,-0.06675690412521362,0.06997281312942505,25,25,0
shape,prefix,9,50,0.0009533905982971191,0.00025275349617004395,-0.014525249600410461,0.01534600555896759,-0.06742089986801147,0.06605494022369385,25,25,0
shape,prefix,10,50,-2.5393962860107423e-05,-0.0008004307746887207,-0.014671847224235535,0.01476895809173584,-0.0724223256111145,0.06675589084625244,23,27,0
shape,suffix,0,50,-2.5393962860107423e-05,-0.0008004307746887207,-0.014671847224235535,0.01476895809173584,-0.0724223256111145,0.06675589084625244,23,27,0
shape,suffix,1,50,0.0018546247482299804,0.0023077726364135742,-0.008245676755905151,0.011037871241569519,-0.04090988636016846,0.04519975185394287,28,22,0
shape,suffix,2,50,-0.00013140439987182617,-0.0006799101829528809,-0.011510491371154785,0.008585557341575623,-0.0904989242553711,0.05173683166503906,23,27,0
shape,suffix,3,50,0.003187611103057861,0.005798757076263428,-0.004845127463340759,0.015047073364257812,-0.07271027565002441,0.05430358648300171,29,21,0
shape,suffix,4,50,0.0033895909786224366,0.004214882850646973,-0.007407128810882568,0.013477176427841187,-0.05909532308578491,0.06504231691360474,29,21,0
shape,suffix,5,50,0.0033536410331726075,0.006065815687179565,-0.011591389775276184,0.017567738890647888,-0.06547653675079346,0.0728607177734375,30,20,0
shape,suffix,6,50,0.0016363906860351564,0.001962423324584961,-0.010091125965118408,0.011016055941581726,-0.03842949867248535,0.046563565731048584,28,22,0
shape,suffix,7,50,-0.00022266507148742675,-0.0002522766590118408,-0.00676003098487854,0.008826106786727905,-0.05437272787094116,0.051608145236968994,25,25,0
