semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
shape,all,suffix,4,50,50,0,50,0.42,0.04,2,0,0.38,0.04,0.14,19,1.0,,0,"{""ambiguous"": 2, ""correct"": 21, ""incorrect"": 20, ""missing"": 7}"
shape,all,suffix,5,50,50,0,50,0.42,0.04,2,0,0.38,0.04,0.18,19,1.0,,0,"{""ambiguous"": 2, ""correct"": 21, ""incorrect"": 18, ""missing"": 9}"
shape,all,suffix,6,50,50,0,50,0.38,0.0,1,1,0.38,0.02,0.2,19,0.9473684210526315,,0,"{""ambiguous"": 1, ""correct"": 19, ""incorrect"": 20, ""missing"": 10}"
shape,all,suffix,7,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,all,suffix,8,50,50,0,50,0.4,0.02,1,0,0.38,0.0,0.18,19,1.0,,0,"{""correct"": 20, ""incorrect"": 21, ""missing"": 9}"
shape,all,suffix,9,50,50,0,50,0.4,0.02,1,0,0.38,0.0,0.2,19,1.0,,0,"{""correct"": 20, ""incorrect"": 20, ""missing"": 10}"
shape,all,suffix,10,50,50,0,50,0.38,0.0,0,0,0.38,0.0,0.22,19,1.0,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,outline,prefix,0,50,50,0,50,0.38,0.0,0,0,0.38,0.0,0.22,19,1.0,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,outline,prefix,1,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.24,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 19, ""missing"": 12}"
shape,outline,prefix,2,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 18, ""missing"": 13}"
shape,outline,prefix,3,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.24,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 19, ""missing"": 12}"
shape,outline,prefix,4,50,50,0,50,0.38,0.0,1,1,0.38,0.02,0.24,19,0.9473684210526315,,0,"{""ambiguous"": 1, ""correct"": 19, ""incorrect"": 18, ""missing"": 12}"
shape,outline,prefix,5,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 18, ""missing"": 13}"
shape,outline,prefix,6,50,50,0,50,0.4,0.02,2,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 20, ""incorrect"": 19, ""missing"": 11}"
shape,outline,prefix,7,50,50,0,50,0.36,-0.02,1,2,0.38,0.02,0.22,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 18, ""incorrect"": 20, ""missing"": 11}"
shape,outline,prefix,8,50,50,0,50,0.34,-0.04,0,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 19, ""missing"": 13}"
shape,outline,prefix,9,50,50,0,50,0.34,-0.04,0,2,0.38,0.02,0.26,19,0.8947368421052632,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 19, ""missing"": 13}"
shape,outline,prefix,10,50,50,0,50,0.36,-0.02,1,2,0.38,0.0,0.24,19,0.8947368421052632,,0,"{""correct"": 18, ""incorrect"": 20, ""missing"": 12}"
shape,outline,suffix,0,50,50,0,50,0.36,-0.02,1,2,0.38,0.0,0.24,19,0.8947368421052632,,0,"{""correct"": 18, ""incorrect"": 20, ""missing"": 12}"
shape,outline,suffix,1,50,50,0,50,0.34,-0.04,1,3,0.38,0.02,0.28,19,0.8421052631578947,,0,"{""ambiguous"": 1, ""correct"": 17, ""incorrect"": 18, ""missing"": 14}"
shape,outline,suffix,2,50,50,0,50,0.36,-0.02,2,3,0.38,0.0,0.22,19,0.8421052631578947,,0,"{""correct"": 18, ""incorrect"": 21, ""missing"": 11}"
shape,outline,suffix,3,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,outline,suffix,4,50,50,0,50,0.42,0.04,2,0,0.38,0.04,0.14,19,1.0,,0,"{""ambiguous"": 2, ""correct"": 21, ""incorrect"": 20, ""missing"": 7}"
shape,outline,suffix,5,50,50,0,50,0.42,0.04,2,0,0.38,0.04,0.18,19,1.0,,0,"{""ambiguous"": 2, ""correct"": 21, ""incorrect"": 18, ""missing"": 9}"
shape,outline,suffix,6,50,50,0,50,0.38,0.0,1,1,0.38,0.02,0.2,19,0.9473684210526315,,0,"{""ambiguous"": 1, ""correct"": 19, ""incorrect"": 20, ""missing"": 10}"
shape,outline,suffix,7,50,50,0,50,0.38,0.0,1,1,0.38,0.0,0.22,19,0.9473684210526315,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
shape,outline,suffix,8,50,50,0,50,0.4,0.02,1,0,0.38,0.0,0.18,19,1.0,,0,"{""correct"": 20, ""incorrect"": 21, ""missing"": 9}"
shape,outline,suffix,9,50,50,0,50,0.4,0.02,1,0,0.38,0.0,0.2,19,1.0,,0,"{""correct"": 20, ""incorrect"": 20, ""missing"": 10}"
shape,outline,suffix,10,50,50,0,50,0.38,0.0,0,0,0.38,0.0,0.22,19,1.0,,0,"{""correct"": 19, ""incorrect"": 20, ""missing"": 11}"
spatial_relation,above_below,prefix,0,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.7,1,1.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,prefix,1,10,10,0,10,0.0,-0.1,0,1,0.1,0.0,0.7,1,0.0,,0,"{""incorrect"": 3, ""missing"": 7}"
spatial_relation,above_below,prefix,2,10,10,0,10,0.0,-0.1,0,1,0.1,0.1,0.7,1,0.0,,0,"{""ambiguous"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,prefix,3,10,10,0,10,0.0,-0.1,0,1,0.1,0.0,0.7,1,0.0,,0,"{""incorrect"": 3, ""missing"": 7}"
spatial_relation,above_below,prefix,4,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.7,1,1.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,prefix,5,10,10,0,10,0.0,-0.1,0,1,0.1,0.1,0.6,1,0.0,,0,"{""ambiguous"": 1, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,above_below,prefix,6,10,10,0,10,0.2,0.1,1,0,0.1,0.0,0.5,1,1.0,,0,"{""correct"": 2, ""incorrect"": 3, ""missing"": 5}"
spatial_relation,above_below,prefix,7,10,10,0,10,0.2,0.1,1,0,0.1,0.0,0.6,1,1.0,,0,"{""correct"": 2, ""incorrect"": 2, ""missing"": 6}"
spatial_relation,above_below,prefix,8,10,10,0,10,0.2,0.1,1,0,0.1,0.0,0.6,1,1.0,,0,"{""correct"": 2, ""incorrect"": 2, ""missing"": 6}"
spatial_relation,above_below,prefix,9,10,10,0,10,0.1,0.0,1,1,0.1,0.0,0.7,1,0.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,prefix,10,10,10,0,10,0.1,0.0,1,1,0.1,0.0,0.7,1,0.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,suffix,0,10,10,0,10,0.1,0.0,1,1,0.1,0.0,0.7,1,0.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,suffix,1,10,10,0,10,0.0,-0.1,0,1,0.1,0.1,0.6,1,0.0,,0,"{""ambiguous"": 1, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,above_below,suffix,2,10,10,0,10,0.0,-0.1,0,1,0.1,0.1,0.6,1,0.0,,0,"{""ambiguous"": 1, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,above_below,suffix,3,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.7,1,1.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,suffix,4,10,10,0,10,0.1,0.0,0,0,0.1,0.1,0.7,1,1.0,,0,"{""ambiguous"": 1, ""correct"": 1, ""incorrect"": 1, ""missing"": 7}"
spatial_relation,above_below,suffix,5,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.6,1,1.0,,0,"{""correct"": 1, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,above_below,suffix,6,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.6,1,1.0,,0,"{""correct"": 1, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,above_below,suffix,7,10,10,0,10,0.0,-0.1,0,1,0.1,0.0,0.8,1,0.0,,0,"{""incorrect"": 2, ""missing"": 8}"
spatial_relation,above_below,suffix,8,10,10,0,10,0.0,-0.1,0,1,0.1,0.0,0.8,1,0.0,,0,"{""incorrect"": 2, ""missing"": 8}"
spatial_relation,above_below,suffix,9,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.7,1,1.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,above_below,suffix,10,10,10,0,10,0.1,0.0,0,0,0.1,0.0,0.7,1,1.0,,0,"{""correct"": 1, ""incorrect"": 2, ""missing"": 7}"
spatial_relation,all,prefix,0,50,50,0,50,0.26,0.0,0,0,0.26,0.14,0.28,13,1.0,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,prefix,1,50,50,0,50,0.24,-0.02,1,2,0.26,0.18,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 9, ""correct"": 12, ""incorrect"": 15, ""missing"": 14}"
spatial_relation,all,prefix,2,50,50,0,50,0.24,-0.02,3,4,0.26,0.22,0.26,13,0.6923076923076923,,0,"{""ambiguous"": 11, ""correct"": 12, ""incorrect"": 14, ""missing"": 13}"
spatial_relation,all,prefix,3,50,50,0,50,0.28,0.02,3,2,0.26,0.2,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 10, ""correct"": 14, ""incorrect"": 12, ""missing"": 14}"
spatial_relation,all,prefix,4,50,50,0,50,0.24,-0.02,1,2,0.26,0.18,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 9, ""correct"": 12, ""incorrect"": 15, ""missing"": 14}"
spatial_relation,all,prefix,5,50,50,0,50,0.22,-0.04,1,3,0.26,0.18,0.28,13,0.7692307692307693,,0,"{""ambiguous"": 9, ""correct"": 11, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,prefix,6,50,50,0,50,0.26,0.0,2,2,0.26,0.14,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,prefix,7,50,50,0,50,0.3,0.04,4,2,0.26,0.12,0.26,13,0.8461538461538461,,0,"{""ambiguous"": 6, ""correct"": 15, ""incorrect"": 16, ""missing"": 13}"
spatial_relation,all,prefix,8,50,50,0,50,0.3,0.04,3,1,0.26,0.16,0.26,13,0.9230769230769231,,0,"{""ambiguous"": 8, ""correct"": 15, ""incorrect"": 14, ""missing"": 13}"
spatial_relation,all,prefix,9,50,50,0,50,0.26,0.0,2,2,0.26,0.14,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,prefix,10,50,50,0,50,0.26,0.0,2,2,0.26,0.14,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,suffix,0,50,50,0,50,0.26,0.0,2,2,0.26,0.14,0.28,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,all,suffix,1,50,50,0,50,0.22,-0.04,1,3,0.26,0.2,0.24,13,0.7692307692307693,,0,"{""ambiguous"": 10, ""correct"": 11, ""incorrect"": 17, ""missing"": 12}"
spatial_relation,all,suffix,2,50,50,0,50,0.24,-0.02,1,2,0.26,0.2,0.24,13,0.8461538461538461,,0,"{""ambiguous"": 10, ""correct"": 12, ""incorrect"": 16, ""missing"": 12}"
spatial_relation,all,suffix,3,50,50,0,50,0.22,-0.04,1,3,0.26,0.16,0.28,13,0.7692307692307693,,0,"{""ambiguous"": 8, ""correct"": 11, ""incorrect"": 17, ""missing"": 14}"
spatial_relation,all,suffix,4,50,50,0,50,0.26,0.0,2,2,0.26,0.12,0.3,13,0.8461538461538461,,0,"{""ambiguous"": 6, ""correct"": 13, ""incorrect"": 16, ""missing"": 15}"
spatial_relation,all,suffix,5,50,50,0,50,0.26,0.0,2,2,0.26,0.14,0.26,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 17, ""missing"": 13}"
spatial_relation,all,suffix,6,50,50,0,50,0.24,-0.02,1,2,0.26,0.14,0.26,13,0.8461538461538461,,0,"{""ambiguous"": 7, ""correct"": 12, ""incorrect"": 18, ""missing"": 13}"
spatial_relation,all,suffix,7,50,50,0,50,0.22,-0.04,1,3,0.26,0.12,0.3,13,0.7692307692307693,,0,"{""ambiguous"": 6, ""correct"": 11, ""incorrect"": 18, ""missing"": 15}"
spatial_relation,all,suffix,8,50,50,0,50,0.26,0.0,1,1,0.26,0.14,0.3,13,0.9230769230769231,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 15, ""missing"": 15}"
spatial_relation,all,suffix,9,50,50,0,50,0.26,0.0,0,0,0.26,0.16,0.26,13,1.0,,0,"{""ambiguous"": 8, ""correct"": 13, ""incorrect"": 16, ""missing"": 13}"
spatial_relation,all,suffix,10,50,50,0,50,0.26,0.0,0,0,0.26,0.14,0.28,13,1.0,,0,"{""ambiguous"": 7, ""correct"": 13, ""incorrect"": 16, ""missing"": 14}"
spatial_relation,containment,prefix,0,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,prefix,1,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,prefix,2,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.1,4,1.0,,0,"{""correct"": 5, ""incorrect"": 4, ""missing"": 1}"
spatial_relation,containment,prefix,3,10,10,0,10,0.6,0.2,2,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 6, ""incorrect"": 2, ""missing"": 2}"
spatial_relation,containment,prefix,4,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,prefix,5,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 3, ""incorrect"": 5, ""missing"": 2}"
spatial_relation,containment,prefix,6,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 3, ""incorrect"": 5, ""missing"": 2}"
spatial_relation,containment,prefix,7,10,10,0,10,0.4,0.0,1,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,prefix,8,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.1,4,1.0,,0,"{""correct"": 5, ""incorrect"": 4, ""missing"": 1}"
spatial_relation,containment,prefix,9,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,prefix,10,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,suffix,0,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,suffix,1,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.1,4,1.0,,0,"{""correct"": 4, ""incorrect"": 5, ""missing"": 1}"
spatial_relation,containment,suffix,2,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,suffix,3,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 3, ""incorrect"": 5, ""missing"": 2}"
spatial_relation,containment,suffix,4,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 3, ""incorrect"": 5, ""missing"": 2}"
spatial_relation,containment,suffix,5,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.1,4,0.75,,0,"{""correct"": 3, ""incorrect"": 6, ""missing"": 1}"
spatial_relation,containment,suffix,6,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.1,4,1.0,,0,"{""correct"": 4, ""incorrect"": 5, ""missing"": 1}"
spatial_relation,containment,suffix,7,10,10,0,10,0.3,-0.1,0,1,0.4,0.0,0.2,4,0.75,,0,"{""correct"": 3, ""incorrect"": 5, ""missing"": 2}"
spatial_relation,containment,suffix,8,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,suffix,9,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,containment,suffix,10,10,10,0,10,0.4,0.0,0,0,0.4,0.0,0.2,4,1.0,,0,"{""correct"": 4, ""incorrect"": 4, ""missing"": 2}"
spatial_relation,front_behind,prefix,0,10,10,0,10,0.4,0.0,0,0,0.4,0.1,0.0,4,1.0,,0,"{""ambiguous"": 1, ""correct"": 4, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,1,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,2,10,10,0,10,0.5,0.1,2,1,0.4,0.1,0.0,4,0.75,,0,"{""ambiguous"": 1, ""correct"": 5, ""incorrect"": 4}"
spatial_relation,front_behind,prefix,3,10,10,0,10,0.5,0.1,1,0,0.4,0.1,0.0,4,1.0,,0,"{""ambiguous"": 1, ""correct"": 5, ""incorrect"": 4}"
spatial_relation,front_behind,prefix,4,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,5,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,6,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,7,10,10,0,10,0.6,0.2,2,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 6, ""incorrect"": 4}"
spatial_relation,front_behind,prefix,8,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,9,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,prefix,10,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,0,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,1,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,2,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,3,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,4,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,5,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,6,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,7,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,8,10,10,0,10,0.5,0.1,1,0,0.4,0.0,0.0,4,1.0,,0,"{""correct"": 5, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,9,10,10,0,10,0.4,0.0,0,0,0.4,0.1,0.0,4,1.0,,0,"{""ambiguous"": 1, ""correct"": 4, ""incorrect"": 5}"
spatial_relation,front_behind,suffix,10,10,10,0,10,0.4,0.0,0,0,0.4,0.1,0.0,4,1.0,,0,"{""ambiguous"": 1, ""correct"": 4, ""incorrect"": 5}"
spatial_relation,left_right,prefix,0,20,20,0,20,0.2,0.0,0,0,0.2,0.3,0.25,4,1.0,,0,"{""ambiguous"": 6, ""correct"": 4, ""incorrect"": 5, ""missing"": 5}"
spatial_relation,left_right,prefix,1,20,20,0,20,0.15,-0.05,0,1,0.2,0.45,0.25,4,0.75,,0,"{""ambiguous"": 9, ""correct"": 3, ""incorrect"": 3, ""missing"": 5}"
spatial_relation,left_right,prefix,2,20,20,0,20,0.1,-0.1,0,2,0.2,0.45,0.25,4,0.5,,0,"{""ambiguous"": 9, ""correct"": 2, ""incorrect"": 4, ""missing"": 5}"
spatial_relation,left_right,prefix,3,20,20,0,20,0.15,-0.05,0,1,0.2,0.45,0.25,4,0.75,,0,"{""ambiguous"": 9, ""correct"": 3, ""incorrect"": 3, ""missing"": 5}"
spatial_relation,left_right,prefix,4,20,20,0,20,0.1,-0.1,0,2,0.2,0.45,0.25,4,0.5,,0,"{""ambiguous"": 9, ""correct"": 2, ""incorrect"": 4, ""missing"": 5}"
spatial_relation,left_right,prefix,5,20,20,0,20,0.15,-0.05,0,1,0.2,0.4,0.3,4,0.75,,0,"{""ambiguous"": 8, ""correct"": 3, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,left_right,prefix,6,20,20,0,20,0.15,-0.05,0,1,0.2,0.35,0.35,4,0.75,,0,"{""ambiguous"": 7, ""correct"": 3, ""incorrect"": 3, ""missing"": 7}"
spatial_relation,left_right,prefix,7,20,20,0,20,0.15,-0.05,0,1,0.2,0.3,0.25,4,0.75,,0,"{""ambiguous"": 6, ""correct"": 3, ""incorrect"": 6, ""missing"": 5}"
spatial_relation,left_right,prefix,8,20,20,0,20,0.15,-0.05,0,1,0.2,0.4,0.3,4,0.75,,0,"{""ambiguous"": 8, ""correct"": 3, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,left_right,prefix,9,20,20,0,20,0.15,-0.05,0,1,0.2,0.35,0.25,4,0.75,,0,"{""ambiguous"": 7, ""correct"": 3, ""incorrect"": 5, ""missing"": 5}"
spatial_relation,left_right,prefix,10,20,20,0,20,0.15,-0.05,0,1,0.2,0.35,0.25,4,0.75,,0,"{""ambiguous"": 7, ""correct"": 3, ""incorrect"": 5, ""missing"": 5}"
spatial_relation,left_right,suffix,0,20,20,0,20,0.15,-0.05,0,1,0.2,0.35,0.25,4,0.75,,0,"{""ambiguous"": 7, ""correct"": 3, ""incorrect"": 5, ""missing"": 5}"
spatial_relation,left_right,suffix,1,20,20,0,20,0.1,-0.1,0,2,0.2,0.45,0.25,4,0.5,,0,"{""ambiguous"": 9, ""correct"": 2, ""incorrect"": 4, ""missing"": 5}"
spatial_relation,left_right,suffix,2,20,20,0,20,0.15,-0.05,0,1,0.2,0.45,0.2,4,0.75,,0,"{""ambiguous"": 9, ""correct"": 3, ""incorrect"": 4, ""missing"": 4}"
spatial_relation,left_right,suffix,3,20,20,0,20,0.1,-0.1,0,2,0.2,0.4,0.25,4,0.5,,0,"{""ambiguous"": 8, ""correct"": 2, ""incorrect"": 5, ""missing"": 5}"
spatial_relation,left_right,suffix,4,20,20,0,20,0.2,0.0,1,1,0.2,0.25,0.3,4,0.75,,0,"{""ambiguous"": 5, ""correct"": 4, ""incorrect"": 5, ""missing"": 6}"
spatial_relation,left_right,suffix,5,20,20,0,20,0.2,0.0,1,1,0.2,0.35,0.3,4,0.75,,0,"{""ambiguous"": 7, ""correct"": 4, ""incorrect"": 3, ""missing"": 6}"
spatial_relation,left_right,suffix,6,20,20,0,20,0.1,-0.1,0,2,0.2,0.35,0.3,4,0.5,,0,"{""ambiguous"": 7, ""correct"": 2, ""incorrect"": 5, ""missing"": 6}"
spatial_relation,left_right,suffix,7,20,20,0,20,0.15,-0.05,0,1,0.2,0.3,0.25,4,0.75,,0,"{""ambiguous"": 6, ""correct"": 3, ""incorrect"": 6, ""missing"": 5}"
spatial_relation,left_right,suffix,8,20,20,0,20,0.2,0.0,0,0,0.2,0.35,0.25,4,1.0,,0,"{""ambiguous"": 7, ""correct"": 4, ""incorrect"": 4, ""missing"": 5}"
spatial_relation,left_right,suffix,9,20,20,0,20,0.2,0.0,0,0,0.2,0.35,0.2,4,1.0,,0,"{""ambiguous"": 7, ""correct"": 4, ""incorrect"": 5, ""missing"": 4}"
spatial_relation,left_right,suffix,10,20,20,0,20,0.2,0.0,0,0,0.2,0.3,0.25,4,1.0,,0,"{""ambiguous"": 6, ""correct"": 4, ""incorrect"": 5, ""missing"": 5}"
texture,all,prefix,0,50,50,0,50,0.8,0.0,0,0,0.8,0.0,0.02,40,1.0,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,all,prefix,1,50,50,0,50,0.84,0.04,3,1,0.8,0.0,0.04,40,0.975,,0,"{""correct"": 42, ""incorrect"": 6, ""missing"": 2}"
texture,all,prefix,2,50,50,0,50,0.78,-0.02,2,3,0.8,0.0,0.02,40,0.925,,0,"{""correct"": 39, ""incorrect"": 10, ""missing"": 1}"
texture,all,prefix,3,50,50,0,50,0.82,0.02,2,1,0.8,0.0,0.02,40,0.975,,0,"{""correct"": 41, ""incorrect"": 8, ""missing"": 1}"
texture,all,prefix,4,50,50,0,50,0.82,0.02,3,2,0.8,0.0,0.02,40,0.95,,0,"{""correct"": 41, ""incorrect"": 8, ""missing"": 1}"
texture,all,prefix,5,50,50,0,50,0.82,0.02,3,2,0.8,0.0,0.02,40,0.95,,0,"{""correct"": 41, ""incorrect"": 8, ""missing"": 1}"
texture,all,prefix,6,50,50,0,50,0.78,-0.02,2,3,0.8,0.0,0.02,40,0.925,,0,"{""correct"": 39, ""incorrect"": 10, ""missing"": 1}"
texture,all,prefix,7,50,50,0,50,0.8,0.0,3,3,0.8,0.0,0.02,40,0.925,,0,"{""correct"": 40, ""incorrect"": 9, ""missing"": 1}"
texture,all,prefix,8,50,50,0,50,0.78,-0.02,2,3,0.8,0.0,0.02,40,0.925,,0,"{""correct"": 39, ""incorrect"": 10, ""missing"": 1}"
