semantic,subtype,direction,boundary,n_total,n_valid,n_errors,n_pairs,success_rate,paired_delta,gained_success_n,lost_success_n,paired_baseline_rate,uncertain_rate,missing_rate,baseline_correct_n,retention,count_mae,count_numeric_n,statuses
count,all,prefix,8,50,50,0,50,0.18,0.0,6,6,0.18,0.0,0.0,9,0.3333333333333333,2.62,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,prefix,9,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.48,50,"{""correct"": 10, ""incorrect"": 40}"
count,all,prefix,10,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,all,suffix,0,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,all,suffix,1,50,50,0,50,0.18,0.0,6,6,0.18,0.0,0.0,9,0.3333333333333333,2.52,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,suffix,2,50,50,0,50,0.14,-0.04,3,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 7, ""incorrect"": 43}"
count,all,suffix,3,50,50,0,50,0.18,0.0,5,5,0.18,0.0,0.0,9,0.4444444444444444,2.42,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,suffix,4,50,50,0,50,0.12,-0.06,2,5,0.18,0.0,0.0,9,0.4444444444444444,2.54,50,"{""correct"": 6, ""incorrect"": 44}"
count,all,suffix,5,50,50,0,50,0.1,-0.08,1,5,0.18,0.0,0.0,9,0.4444444444444444,2.82,50,"{""correct"": 5, ""incorrect"": 45}"
count,all,suffix,6,50,50,0,50,0.22,0.04,3,1,0.18,0.0,0.0,9,0.8888888888888888,2.56,50,"{""correct"": 11, ""incorrect"": 39}"
count,all,suffix,7,50,50,0,50,0.26,0.08,5,1,0.18,0.0,0.0,9,0.8888888888888888,2.36,50,"{""correct"": 13, ""incorrect"": 37}"
count,all,suffix,8,50,50,0,50,0.24,0.06,4,1,0.18,0.0,0.0,9,0.8888888888888888,2.54,50,"{""correct"": 12, ""incorrect"": 38}"
count,all,suffix,9,50,50,0,50,0.18,0.0,1,1,0.18,0.0,0.0,9,0.8888888888888888,2.52,50,"{""correct"": 9, ""incorrect"": 41}"
count,all,suffix,10,50,50,0,50,0.18,0.0,0,0,0.18,0.0,0.0,9,1.0,2.68,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,prefix,0,50,50,0,50,0.18,0.0,0,0,0.18,0.0,0.0,9,1.0,2.68,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,prefix,1,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,single_category,prefix,2,50,50,0,50,0.22,0.04,5,3,0.18,0.0,0.0,9,0.6666666666666666,2.66,50,"{""correct"": 11, ""incorrect"": 39}"
count,single_category,prefix,3,50,50,0,50,0.16,-0.02,3,4,0.18,0.0,0.0,9,0.5555555555555556,2.66,50,"{""correct"": 8, ""incorrect"": 42}"
count,single_category,prefix,4,50,50,0,50,0.28,0.1,8,3,0.18,0.0,0.0,9,0.6666666666666666,2.38,50,"{""correct"": 14, ""incorrect"": 36}"
count,single_category,prefix,5,50,50,0,50,0.18,0.0,5,5,0.18,0.0,0.0,9,0.4444444444444444,2.62,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,prefix,6,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.54,50,"{""correct"": 10, ""incorrect"": 40}"
count,single_category,prefix,7,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.64,50,"{""correct"": 10, ""incorrect"": 40}"
count,single_category,prefix,8,50,50,0,50,0.18,0.0,6,6,0.18,0.0,0.0,9,0.3333333333333333,2.62,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,prefix,9,50,50,0,50,0.2,0.02,5,4,0.18,0.0,0.0,9,0.5555555555555556,2.48,50,"{""correct"": 10, ""incorrect"": 40}"
count,single_category,prefix,10,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,single_category,suffix,0,50,50,0,50,0.16,-0.02,4,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 8, ""incorrect"": 42}"
count,single_category,suffix,1,50,50,0,50,0.18,0.0,6,6,0.18,0.0,0.0,9,0.3333333333333333,2.52,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,suffix,2,50,50,0,50,0.14,-0.04,3,5,0.18,0.0,0.0,9,0.4444444444444444,2.56,50,"{""correct"": 7, ""incorrect"": 43}"
count,single_category,suffix,3,50,50,0,50,0.18,0.0,5,5,0.18,0.0,0.0,9,0.4444444444444444,2.42,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,suffix,4,50,50,0,50,0.12,-0.06,2,5,0.18,0.0,0.0,9,0.4444444444444444,2.54,50,"{""correct"": 6, ""incorrect"": 44}"
count,single_category,suffix,5,50,50,0,50,0.1,-0.08,1,5,0.18,0.0,0.0,9,0.4444444444444444,2.82,50,"{""correct"": 5, ""incorrect"": 45}"
count,single_category,suffix,6,50,50,0,50,0.22,0.04,3,1,0.18,0.0,0.0,9,0.8888888888888888,2.56,50,"{""correct"": 11, ""incorrect"": 39}"
count,single_category,suffix,7,50,50,0,50,0.26,0.08,5,1,0.18,0.0,0.0,9,0.8888888888888888,2.36,50,"{""correct"": 13, ""incorrect"": 37}"
count,single_category,suffix,8,50,50,0,50,0.24,0.06,4,1,0.18,0.0,0.0,9,0.8888888888888888,2.54,50,"{""correct"": 12, ""incorrect"": 38}"
count,single_category,suffix,9,50,50,0,50,0.18,0.0,1,1,0.18,0.0,0.0,9,0.8888888888888888,2.52,50,"{""correct"": 9, ""incorrect"": 41}"
count,single_category,suffix,10,50,50,0,50,0.18,0.0,0,0,0.18,0.0,0.0,9,1.0,2.68,50,"{""correct"": 9, ""incorrect"": 41}"
